location_id,location_name
735,4540 Fårevejle
736,4550 Asnæs
737,4560 Vig
738,4571 Grevinge
739,4572 Nørre Asmindrup
740,4573 Højby
741,4581 Rørvig
742,4583 Sjællands Odde
743,4591 Føllenslev
744,4592 Sejerø
745,4593 Eskebjerg
746,4600 Køge
747,4621 Gadstrup
748,4622 Havdrup
749,4623 Lille Skensved
750,4632 Bjæverskov
751,4640 Faxe
752,4652 Hårlev
753,4653 Karise
754,4654 Faxe Ladeplads
755,4660 Store Heddinge
756,4671 Strøby
757,4672 Klippinge
758,4673 Rødvig Stevns
759,4681 Herfølge
760,4682 Tureby
761,4683 Rønnede
762,4684 Holmegaard
763,4690 Haslev
764,4700 Næstved
765,4720 Præstø
766,4733 Tappernøje
767,4735 Mern
768,4736 Karrebæksminde
769,4750 Lundby
770,4760 Vordingborg
771,4771 Kalvehave
772,4772 Langebæk
773,4773 Stensved
774,4780 Stege
775,4791 Borre
776,4792 Askeby
777,4793 Bogø By
778,4800 Nykøbing F
779,4840 Nørre Alslev
780,4850 Stubbekøbing
781,4862 Guldborg
782,4863 Eskilstrup
783,4871 Horbelev
784,4872 Idestrup
785,4873 Væggerløse
786,4874 Gedser
787,4880 Nysted
788,4891 Toreby L
789,4892 Kettinge
790,4894 Øster Ulslev
791,4895 Errindlev
792,4900 Nakskov
793,4912 Harpelunde
794,4913 Horslunde
795,4920 Søllested
796,4930 Maribo
797,4941 Bandholm
798,4942 Askø-Lilleø
799,4943 Torrig L
800,4944 Fejø
801,4945 Femø
802,4951 Nørreballe
803,4952 Stokkemarke
804,4953 Vesterborg
805,4960 Holeby
806,4970 Rødby
807,4983 Dannemare
808,4990 Sakskøbing
809,5000 Odense C
810,5200 Odense V
811,5210 Odense NV
812,5220 Odense SØ
813,5230 Odense M
814,5240 Odense NØ
815,5250 Odense SV
816,5260 Odense S
817,5270 Odense N
818,5290 Marslev
819,5300 Kerteminde
820,5320 Agedrup
821,5330 Munkebo
822,5350 Rynkeby
823,5370 Mesinge
824,5380 Dalby
825,5390 Martofte
826,5400 Bogense
827,5450 Otterup
828,5462 Morud
829,5463 Harndrup
830,5464 Brenderup Fyn
831,5466 Asperup
832,5471 Søndersø
833,5474 Veflinge
834,5485 Skamby
835,5491 Blommenslyst
836,5492 Vissenbjerg
837,5500 Middelfart
838,5540 Ullerslev
839,5550 Langeskov
840,5560 Aarup
841,5580 Nørre Aaby
842,5591 Gelsted
843,5592 Ejby
844,5600 Faaborg
845,5602 Avernakø
846,5603 Bjørnø
847,5610 Assens
848,5620 Glamsbjerg
849,5631 Ebberup
850,5642 Millinge
851,5672 Broby
852,5683 Haarby
853,5690 Tommerup
854,5700 Svendborg
855,5750 Ringe
856,5762 Vester Skerninge
857,5771 Stenstrup
858,5772 Kværndrup
859,5792 Årslev
860,5800 Nyborg
861,5853 Ørbæk
862,5854 Gislev
863,5856 Ryslinge
864,5863 Ferritslev Fyn
865,5871 Frørup
866,5874 Hesselager
867,5881 Skårup Fyn
868,5882 Vejstrup
869,5883 Oure
870,5884 Gudme
871,5892 Gudbjerg Sydfyn
872,5900 Rudkøbing
873,5932 Humble
874,5935 Bagenkop
875,5943 Strynø
876,5953 Tranekær
877,5960 Marstal
878,5970 Ærøskøbing
879,5985 Søby Ærø
880,6000 Kolding
881,6040 Egtved
882,6051 Almind
883,6052 Viuf
884,6064 Jordrup
885,6070 Christiansfeld
886,6091 Bjert
887,6092 Sønder Stenderup
888,6093 Sjølund
889,6094 Hejls
890,6100 Haderslev
891,6200 Aabenraa
892,6210 Barsø
893,6230 Rødekro
894,6240 Løgumkloster
895,6261 Bredebro
896,6270 Tønder
897,6280 Højer
898,6300 Gråsten
899,6310 Broager
900,6320 Egernsund
901,6330 Padborg
902,6340 Kruså
903,6360 Tinglev
904,6372 Bylderup-Bov
905,6392 Bolderslev
906,6400 Sønderborg
907,6430 Nordborg
908,6440 Augustenborg
909,6470 Sydals
910,6500 Vojens
911,6510 Gram
912,6520 Toftlund
913,6534 Agerskov
914,6535 Branderup J
915,6541 Bevtoft
916,6560 Sommersted
