company_id,company_name,employee_count,employee_count_low,n_sectors,sectors,n_divisions,divisions
35414517,Slot Møbler A/S,11,11,1,Handel,1,Møbelforretninger
35414800,WEPLY A/S,49,49,1,It- og informationstjenester,1,Konsulentbistand vedrørende informationsteknologi
35415033,JANTZEN PROPERTIES ApS,3,3,1,Ejendomshandel og udlejning,1,Anden udlejning af boliger
35415440,Btt Bolig ApS,3,3,1,Ejendomshandel og udlejning,1,Anden udlejning af boliger
35415548,Sandrew Metronome Distribution A/S,NA,NA,1,Forlag  tv og radio,1,Distribution af film
35415912,Plus El,19,19,1,Bygge og anlæg,1,El-installation
35416463,JUAL SOLAR A/S,11,11,1,Handel,1,Engroshandel med andre maskiner og andet udstyr
35416528,Bergman Bog & idé ApS,43,43,1,Handel,1,Detailhandel med bøger
35416986,Svaneke Is Rødovre ApS,NA,NA,1,Hoteller og restauranter,1,Pizzeriaer
35417133,QuickTube A/S,15,15,1,Metalindustri,1,Maskinforarbejdning
35418148,Sprout Europe ApS,18,18,1,Handel,1,Engroshandel med andre husholdningsartikler
35418296,LSM:Steel Spånteknik ApS,7,7,1,Metalindustri,1,Maskinforarbejdning
35418334,LSM:Steel Construction ApS,16,16,1,Metalindustri,1,Fremstilling af metalkonstruktioner og dele heraf
35418423,Foundation for Environmental Education,15,15,1,Andre serviceydelser  mv.,1,Faglige sammenslutninger
35418733,Nordsjællands Park og Vej I/S,136,136,1,Rejsebureauer  rengøring og anden operationel service,1,Landskabspleje
35418911,Bath Deluxe,1,1,1,Handel,1,Engroshandel med træ
35420835,Foreningen Vandpytten,17,17,1,Sociale institutioner,1,Aldersintegrerede institutioner
35421041,Scandinavian Airlines System,1316,1316,2,Møbel- og anden industri mv.; Transport,4,Reparation og vedligeholdelse af luft- og rumfartøjer; Ruteflyvning; Lufttransport af gods; Serviceydelser i forbindelse med luftfart
35422544,Lær For Livet (Fond) S/I,22,22,1,Sociale institutioner,1,Foreninger
35423877,Ejby Apotek v/Lars Orup Andersen,25,25,1,Handel,1,Apoteker
35423990,Klinte Natur og Idræts Friskole,10 - 19,10,1,Undervisning,1,Folkeskoler o.lign.
35424865,Tænketanken EUROPA,9,9,1,Andre serviceydelser  mv.,1,Andre organisationer og foreninger i.a.n.
35426272,Ansaldo STS S.p.A.,NA,NA,1,Bygge og anlæg,1,Anlæg af jernbaner og undergrundsbaner
35427015,Ærtebjerghave Børnecenter,29,29,1,Sociale institutioner,1,Børnehaver
35428119,MESSE C Fredericia,82,82,1,Rejsebureauer  rengøring og anden operationel service,1,Organisering af kongresser
35428682,Foreningen Fundamentet,12,12,2,Sociale institutioner; Andre serviceydelser  mv.,2,Foreninger; Andre organisationer og foreninger i.a.n.
35432027,Domi Bolig,30,30,1,Ejendomshandel og udlejning,1,Almennyttige boligselskaber
35433945,Foreningen Sønderborg Vækstråd,11,11,1,Offentlig administration  forsvar og politi,1,Administration af og bidrag til erhvervsfremme
35437282,P+,NA,NA,1,Rejsebureauer  rengøring og anden operationel service,1,Kombinerede administrationsserviceydelser
35440178,Hovedstadens Beredskab,893,893,1,Offentlig administration  forsvar og politi,1,Brandvæsen
35442022,Abiomed Gmbh,1,1,1,Møbel- og anden industri mv.,1,Fremstilling af medicinske og dentale instrumenter samt udstyr hertil
35444815,Oy Salus Group Ab,NA,NA,1,It- og informationstjenester,1,Webportaler
35444963,Quinyx AB,2 - 4,2,1,It- og informationstjenester,1,Computerprogrammering
35445315,Biolab A/S,10,10,1,Handel,1,Engroshandel med andre maskiner og andet udstyr
35446141,Embassy of United Arab Emirates in Copenhagen,NA,NA,1,Andre serviceydelser  mv.,1,Eksterritoriale organisationer og organer
35448020,VKST I/S,280,280,2,Reklame og øvrige erhvervsservice; Rejsebureauer  rengøring og anden operationel service,2,Landbrugskonsulenter; Kombinerede administrationsserviceydelser
35449663,Enprom Sp. z o. o.,1,1,1,Bygge og anlæg,1,El-installation
35450270,Gebr. Kemper GmbH + Co. KG,NA,NA,1,Maskinindustri,1,Fremstilling af øvrige maskiner til specielle formål i.a.n.
35452826,UNHCR  FNs Flygtningeorganisation,NA,NA,1,Andre serviceydelser  mv.,1,Eksterritoriale organisationer og organer
35457828,Boli.Nu,34,34,1,Ejendomshandel og udlejning,1,Almennyttige boligselskaber
35465502,Copenhagen Shoes ApS,6,6,1,Handel,2,Engroshandel med fodtøj; Skotøjsforretninger
35465979,Revisto Statsautoriseret revisionspartnerselskab,2,2,1,Rådgivning mv.,1,Bogføring og revision; skatterådgivning
35466002,Wooden Spoon ApS,7,7,1,Hoteller og restauranter,1,Anden restaurationsvirksomhed
35466096,Fujifilm Danmark A/S,12,12,1,Handel,1,Engroshandel med fotografiske og optiske artikler
35466924,Kviknet.DK ApS,14,14,1,Telekommunikation,1,Anden telekommunikation
35468188,Flash  filial af Flash AB,10 - 19,10,1,Handel,1,Tøjforretninger
35468277,Arthur Hotels A/S,68,68,1,Hoteller og restauranter,1,Hoteller
35468447,Slothmøller A/S,32,32,1,Rådgivning mv.,1,Rådgivende ingeniørvirksomhed inden for byggeri og anlægsarbejder
35468676,L-Brand & Teknik ApS,10,10,1,Bygge og anlæg,1,El-installation
35469222,Flightlogger ApS,11,11,1,It- og informationstjenester,1,Anden it-servicevirksomhed
