job_id,skill
1037345,engelsk
1037345,regnskab
1037345,likviditetsstyring
1037349,communication
1037349,languages
1037349,english
1037349,engineering
1037349,business
1037349,support
1037349,documentation
1037349,energy
1037349,pregnancy
1037349,supply-chain-management
1037355,dansk
1037355,logistik
1037355,support
1037355,kommunikation
1037355,engelsk
1037355,historie
1037359,communication
1037359,employment-law
1037359,google
1037359,mobile
1037359,english
1037359,danish
1037359,analytics
1037359,work-independently
1037359,marketing
1037359,meet-deadlines
1037359,advertising
1037359,company-policies
1037367,html
1037367,google
1037367,typescript
1037367,css
1037367,deployment
1037367,mysql
1037367,c
1037367,angular
1037371,communication
1037371,customer-service
1037371,english
1037371,danish
1037371,business
1037371,support
1037371,marketing
1037371,utilities
1037371,energy
1037371,framework
1037371,data-validation
1037371,finance
1037371,task-management
1037371,crm
1037378,personal-development
1037378,english
1037378,support
1037378,documentation
1037378,project-management
1037378,play
1037390,communication
1037390,personal-development
1037390,english
1037390,business
1037390,support
1037390,marketing
1037390,energy
1037390,communications
1037390,play
1037390,advertising
1037392,mechanics
1037392,english
1037392,engineering
1037392,danish
1037392,software
1037392,design
1037392,work-independently
1037392,robotics
1037392,support
1037392,collaboration
1037392,3d
1037392,mechanical-engineering
1037398,geografi
1037398,c
1037398,statistik
1037398,logistik
1037399,maven
1037399,chef
1037399,regnskab
1037414,konflikthåndtering
1037414,databeskyttelse
1037416,dansk
1037416,windows
1037416,server
1037416,support
1037416,engelsk
1037420,kubernetes
1037420,bamboo
1037420,bitbucket
1037420,bash
1037420,framework
1037420,aspnet
1037420,db2
1037420,fodbold
1037420,windows
1037420,software
1037420,docker
1037420,confluence
1037420,github
1037420,jira
1037420,grafana
1037420,prometheus
1037420,linux
1037420,c
1037420,rancher
1037429,knowledge-base
1037429,english
1037429,danish
1037429,business
1037429,design
1037429,security
1037429,business-process
1037429,testing
1037436,kubernetes
1037436,deployment
1037436,energy
1037436,terraform
1037436,airflow
1037436,spark
1037436,celery
1037436,data-processing
1037436,interaction
1037436,engineering
1037436,azure
1037436,software
1037436,design
1037436,chef
1037436,databases
1037436,github
1037436,python
1037436,docker
1037436,slack
1037436,git
1037436,hadoop
1037436,english
1037436,ansible
1037436,algorithm
1037440,dansk
1037440,design
1037440,arbejde-selvstændigt
1037442,dansk
1037442,api
1037442,pharmaceutical-industry
1037442,danish
1037442,medicinalindustrien
1037442,arbejde-selvstændigt
1037446,communication
1037446,artificial-intelligence
1037446,biotechnology
1037446,immunology
1037446,personal-development
1037446,english
1037446,design
1037446,support
1037446,collaboration
1037446,machine-learning
1037446,schedule
1037446,ranking
1037446,release
1037447,kubernetes
1037447,devops
1037447,deployment
1037447,hearing-aids
1037447,monitoring
1037447,audio-signal
1037447,google
1037447,signal-processing
1037447,jenkins
1037447,c++
1037447,work-independently
1037447,matlab
1037447,advertising
1037447,android
1037447,windows
1037447,audiology
1037447,azure
1037447,analytics
1037447,software
1037447,design
1037447,marketing
1037447,docker
1037447,python
1037447,algorithms
1037447,testing
1037447,firmware
1037447,languages
1037447,.net
1037447,mobile
1037447,hearing-loss
1037447,english
1037447,continuous-integration
1037447,ios
1037447,algorithm
1037447,linux
1037447,c
1037456,arbejde-selvstændigt
1037457,offentlig-ret
1037457,arbejde-selvstændigt
1037465,dansk
1037465,personlig-udvikling
1037465,chef
1037465,engelsk
1037465,arbejde-selvstændigt
1037465,parcel
1037466,psykiatri
1037466,energi
1037466,personlig-udvikling
1037466,pædagogik
1037474,ernæring
1037478,software
1037478,business
1037478,content-management
1037478,support
1037478,ecommerce
1037478,collaboration
1037478,marketing
1037478,information-management
1037478,tower
1037480,software
1037484,dansk
1037484,google
1037484,mailchimp
1037484,vietnamesisk
1037484,sagsstyring
1037484,wordpress
1037484,software
1037484,engelsk
1037484,arbejde-selvstændigt
1037490,outplacement
1037497,server
1037497,devops
1037497,write-english
1037497,azure
1037497,danish
1037497,business
1037497,design
1037497,support
1037505,dansk
1037505,kundeservice
1037505,ernæring
1037505,logistik
1037505,engelsk
1037508,market-research
1037508,analytics
1037508,personlig-udvikling
1037508,software
1037508,support
1037508,project-management
1037508,latin
1037512,årsregnskab
1037512,organisationsstruktur
1037512,kommunikation
1037512,energi
1037512,likviditetsstyring
1037514,økonomi
1037514,personlig-udvikling
1037514,regnskab
1037514,arbejde-selvstændigt
1037514,systemforståelse
1037517,fysik
1037517,samarbejde-med-kolleger
1037517,c
1037517,undervise-i-it
1037517,matematik
1037517,energi
1037518,communication
1037518,english
1037518,surgery
1037518,engineering
1037518,business
1037518,danish
1037518,support
1037518,marketing
1037518,medical-devices
1037518,collaboration
1037518,monitoring
1037518,politics
1037528,communication
1037528,immunotherapy
1037528,business
1037528,project-management
1037528,collaboration
1037528,monitoring
1037531,økonomi
1037531,business
1037531,regnskab
1037533,statistik
1037533,support
1037539,dansk
1037539,arbejde-selvstændigt
1037542,samarbejde-med-kolleger
1037542,chef
1037542,politik
1037544,engelsk
1037544,ortodonti
1037544,skrive-dansk
1037545,dansk
1037545,arbejde-selvstændigt
1037548,kommunikation
1037548,salgsstrategier
1037548,personlig-udvikling
1037548,arbejde-selvstændigt
1037554,arbejde-selvstændigt
1037560,kommunikation
1037560,aftaleret
1037560,arbejde-selvstændigt
1037563,dansk
1037563,logistik
1037563,engelsk
1037563,terminal
1037563,supply-chain-management
1037563,energi
